2;3;3;4;5;6;7;8;9;10;11;12;12;13;14;15;15;16;17;18;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
11;11;12;12;12;12;12;12;12;12;12;12;13;13;13;13;14;14;14;14;14;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
(2, 10);(2, 11);(3, 11);(3, 12);(4, 12);(5, 12);(6, 12);(7, 12);(8, 12);(9, 12);(10, 12);(11, 12);(12, 12);(12, 13);(13, 13);(14, 13);(15, 13);(15, 14);(16, 14);(17, 14);(18, 14);(19, 14);(20, 14);(20, 15);(20, 16);(20, 17);(20, 18);(20, 19);(20, 20);(20, 21);(20, 22);(20, 23);(20, 24);(20, 25);(20, 26);(20, 27);(20, 28);(20, 29)
